flight_id,arrival_time,scheduled_time,actual_time,predicted_delay,final_delay,waiting_time,runway,aircraft_type,status
445,936.4833333333332,939.8822551617674,2209.85,2329.85986328125,76198.06469029396,76402.0,R1,a605f0,LANDED
446,839.9666666666667,842.5160704575123,2211.85,2325.675537109375,82160.03577254925,82313.0,R1,a605f0,LANDED
447,64.9,69.34964145897153,2213.85,473.5538635253906,128670.0215124617,128937.0,R1,a605f0,LANDED
448,27.516666666666666,31.360458546260197,2215.85,1.8405725955963135,131069.37248722438,131300.0,R1,a605f0,LANDED
449,1139.0166666666669,1143.5342959770278,2217.85,2342.62255859375,64458.942241378325,64729.999999999985,R1,a611c2,LANDED
450,694.7333333333333,697.819102297752,2219.85,2309.830810546875,91321.85386213487,91507.0,R1,a611c2,LANDED
451,347.93333333333334,352.6999482383268,2221.85,2284.71337890625,112149.0031057004,112435.0,R1,a611c2,LANDED
452,1036.5,1038.6901492717482,2223.85,2332.074462890625,71109.59104369511,71241.0,R1,a633a0,LANDED
453,91.76666666666668,95.28515329894736,2225.85,481.720458984375,127833.89080206314,128045.0,R1,a633a0,LANDED
454,56.98333333333333,58.39629313588797,2227.85,422.1982421875,130167.22241184673,130252.0,R1,a633a0,LANDED
455,1352.65,1356.2960093987697,2229.85,2360.3291015625,52413.23943607381,52632.0,R1,a63d42,LANDED
456,1120.9166666666667,1122.886257511909,1309.4833333333331,2336.705078125,11195.824549285448,11313.999999999985,R2,a63d42,LANDED
457,908.7,913.6689831127758,2231.85,2324.324951171875,79090.86101323344,79389.0,R1,a63d42,LANDED
458,1303.1833333333334,1304.770432743029,2233.85,2350.603759765625,55744.77403541825,55840.0,R1,a651c6,LANDED
460,1349.3666666666666,1351.3729202364827,2235.85,2357.465087890625,53068.62478581103,53189.0,R1,a6663b,LANDED
459,837.8166666666667,841.2352058350654,2237.85,2324.71630859375,83796.88764989607,84002.0,R1,a651c6,LANDED
461,736.0,738.784207473204,2239.85,2310.465576171875,90063.94755160777,90231.0,R1,a6663b,LANDED
